Name		minicontrol		Action			Detect			Sensitivity						|<--	Output					-->|
	Oct	Map	Key	Touch (Vel 1-24)	Tap (Vel 25-119)	Hit (Vel 120-127)	Event2	Chan	Note	Min	Touch	Tap	Hit	Max	Key Detect	Touch Detect	Touch Action	Tap Detect	Tap Action	Hit Detect	Hit Action	Key complete
			B4	Tab Back	Tab Back	Tab Back	on	0	71	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E74:G74)="","",UNICHAR(34)&H74&" "&I74&" "&J74&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E74),"",L74)	=IF(ISBLANK(E74),"",LOOKUP(E74,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F74),"",M74)	=IF(ISBLANK(F74),"",LOOKUP(F74,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G74),"",N74)	=IF(ISBLANK(G74),"",LOOKUP(G74,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E74:G74)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			C5	Alt Tab	Alt Tab	Alt Tab	on	0	72	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E75:G75)="","",UNICHAR(34)&H75&" "&I75&" "&J75&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E75),"",L75)	=IF(ISBLANK(E75),"",LOOKUP(E75,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F75),"",M75)	=IF(ISBLANK(F75),"",LOOKUP(F75,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G75),"",N75)	=IF(ISBLANK(G75),"",LOOKUP(G75,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E75:G75)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			C#5	Paragraph	Paragraph	Paragraph	on	0	73	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E76:G76)="","",UNICHAR(34)&H76&" "&I76&" "&J76&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E76),"",L76)	=IF(ISBLANK(E76),"",LOOKUP(E76,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F76),"",M76)	=IF(ISBLANK(F76),"",LOOKUP(F76,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G76),"",N76)	=IF(ISBLANK(G76),"",LOOKUP(G76,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E76:G76)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			D5	Space	Space	Space	on	0	74	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E77:G77)="","",UNICHAR(34)&H77&" "&I77&" "&J77&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E77),"",L77)	=IF(ISBLANK(E77),"",LOOKUP(E77,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F77),"",M77)	=IF(ISBLANK(F77),"",LOOKUP(F77,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G77),"",N77)	=IF(ISBLANK(G77),"",LOOKUP(G77,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E77:G77)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			D#5	USFM Add	USFM Add	USFM Add	on	0	75	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E78:G78)="","",UNICHAR(34)&H78&" "&I78&" "&J78&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E78),"",L78)	=IF(ISBLANK(E78),"",LOOKUP(E78,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F78),"",M78)	=IF(ISBLANK(F78),"",LOOKUP(F78,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G78),"",N78)	=IF(ISBLANK(G78),"",LOOKUP(G78,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E78:G78)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			E5	Asterisk	Asterisk	Asterisk	on	0	76	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E79:G79)="","",UNICHAR(34)&H79&" "&I79&" "&J79&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E79),"",L79)	=IF(ISBLANK(E79),"",LOOKUP(E79,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F79),"",M79)	=IF(ISBLANK(F79),"",LOOKUP(F79,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G79),"",N79)	=IF(ISBLANK(G79),"",LOOKUP(G79,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E79:G79)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
	MidiMath		F5	Tab	Tab	Escape	on	0	77	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E80:G80)="","",UNICHAR(34)&H80&" "&I80&" "&J80&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E80),"",L80)	=IF(ISBLANK(E80),"",LOOKUP(E80,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F80),"",M80)	=IF(ISBLANK(F80),"",LOOKUP(F80,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G80),"",N80)	=IF(ISBLANK(G80),"",LOOKUP(G80,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E80:G80)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			F#5	Less	Less	Less	on	0	78	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E81:G81)="","",UNICHAR(34)&H81&" "&I81&" "&J81&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E81),"",L81)	=IF(ISBLANK(E81),"",LOOKUP(E81,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F81),"",M81)	=IF(ISBLANK(F81),"",LOOKUP(F81,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G81),"",N81)	=IF(ISBLANK(G81),"",LOOKUP(G81,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E81:G81)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			G5	Backspace	Backspace	Delete	on	0	79	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E82:G82)="","",UNICHAR(34)&H82&" "&I82&" "&J82&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E82),"",L82)	=IF(ISBLANK(E82),"",LOOKUP(E82,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F82),"",M82)	=IF(ISBLANK(F82),"",LOOKUP(F82,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G82),"",N82)	=IF(ISBLANK(G82),"",LOOKUP(G82,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E82:G82)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			G#5	Greater	Greater	Greater	on	0	80	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E83:G83)="","",UNICHAR(34)&H83&" "&I83&" "&J83&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E83),"",L83)	=IF(ISBLANK(E83),"",LOOKUP(E83,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F83),"",M83)	=IF(ISBLANK(F83),"",LOOKUP(F83,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G83),"",N83)	=IF(ISBLANK(G83),"",LOOKUP(G83,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E83:G83)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			A5	Cut	Copy	Copy	on	0	81	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E84:G84)="","",UNICHAR(34)&H84&" "&I84&" "&J84&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E84),"",L84)	=IF(ISBLANK(E84),"",LOOKUP(E84,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F84),"",M84)	=IF(ISBLANK(F84),"",LOOKUP(F84,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G84),"",N84)	=IF(ISBLANK(G84),"",LOOKUP(G84,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E84:G84)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			A#5	Equal	Equal	Equal	on	0	82	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E85:G85)="","",UNICHAR(34)&H85&" "&I85&" "&J85&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E85),"",L85)	=IF(ISBLANK(E85),"",LOOKUP(E85,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F85),"",M85)	=IF(ISBLANK(F85),"",LOOKUP(F85,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G85),"",N85)	=IF(ISBLANK(G85),"",LOOKUP(G85,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E85:G85)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			B5	Space	Space	Space	on	0	83	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E86:G86)="","",UNICHAR(34)&H86&" "&I86&" "&J86&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E86),"",L86)	=IF(ISBLANK(E86),"",LOOKUP(E86,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F86),"",M86)	=IF(ISBLANK(F86),"",LOOKUP(F86,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G86),"",N86)	=IF(ISBLANK(G86),"",LOOKUP(G86,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E86:G86)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			C6	Plus	Plus	Plus	on	0	84	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E87:G87)="","",UNICHAR(34)&H87&" "&I87&" "&J87&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E87),"",L87)	=IF(ISBLANK(E87),"",LOOKUP(E87,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F87),"",M87)	=IF(ISBLANK(F87),"",LOOKUP(F87,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G87),"",N87)	=IF(ISBLANK(G87),"",LOOKUP(G87,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E87:G87)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			C#6	Caret	Caret	Caret	on	0	85	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E88:G88)="","",UNICHAR(34)&H88&" "&I88&" "&J88&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E88),"",L88)	=IF(ISBLANK(E88),"",LOOKUP(E88,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F88),"",M88)	=IF(ISBLANK(F88),"",LOOKUP(F88,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G88),"",N88)	=IF(ISBLANK(G88),"",LOOKUP(G88,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E88:G88)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			D6	Asterisk	Asterisk	Asterisk	on	0	86	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E89:G89)="","",UNICHAR(34)&H89&" "&I89&" "&J89&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E89),"",L89)	=IF(ISBLANK(E89),"",LOOKUP(E89,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F89),"",M89)	=IF(ISBLANK(F89),"",LOOKUP(F89,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G89),"",N89)	=IF(ISBLANK(G89),"",LOOKUP(G89,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E89:G89)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			D#6	Period	Period	Period	on	0	87	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E90:G90)="","",UNICHAR(34)&H90&" "&I90&" "&J90&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E90),"",L90)	=IF(ISBLANK(E90),"",LOOKUP(E90,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F90),"",M90)	=IF(ISBLANK(F90),"",LOOKUP(F90,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G90),"",N90)	=IF(ISBLANK(G90),"",LOOKUP(G90,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E90:G90)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			E6	Slash	Slash	Slash	on	0	88	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E91:G91)="","",UNICHAR(34)&H91&" "&I91&" "&J91&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E91),"",L91)	=IF(ISBLANK(E91),"",LOOKUP(E91,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F91),"",M91)	=IF(ISBLANK(F91),"",LOOKUP(F91,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G91),"",N91)	=IF(ISBLANK(G91),"",LOOKUP(G91,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E91:G91)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			F6	Minus	Minus	Minus	on	0	89	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E92:G92)="","",UNICHAR(34)&H92&" "&I92&" "&J92&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E92),"",L92)	=IF(ISBLANK(E92),"",LOOKUP(E92,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F92),"",M92)	=IF(ISBLANK(F92),"",LOOKUP(F92,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G92),"",N92)	=IF(ISBLANK(G92),"",LOOKUP(G92,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E92:G92)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			F#6	1	1	1	on	0	90	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E93:G93)="","",UNICHAR(34)&H93&" "&I93&" "&J93&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E93),"",L93)	=IF(ISBLANK(E93),"",LOOKUP(E93,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F93),"",M93)	=IF(ISBLANK(F93),"",LOOKUP(F93,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G93),"",N93)	=IF(ISBLANK(G93),"",LOOKUP(G93,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E93:G93)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			G6	6	6	6	on	0	91	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E94:G94)="","",UNICHAR(34)&H94&" "&I94&" "&J94&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E94),"",L94)	=IF(ISBLANK(E94),"",LOOKUP(E94,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F94),"",M94)	=IF(ISBLANK(F94),"",LOOKUP(F94,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G94),"",N94)	=IF(ISBLANK(G94),"",LOOKUP(G94,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E94:G94)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			G#6	2	2	2	on	0	92	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E95:G95)="","",UNICHAR(34)&H95&" "&I95&" "&J95&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E95),"",L95)	=IF(ISBLANK(E95),"",LOOKUP(E95,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F95),"",M95)	=IF(ISBLANK(F95),"",LOOKUP(F95,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G95),"",N95)	=IF(ISBLANK(G95),"",LOOKUP(G95,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E95:G95)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			A6	7	7	7	on	0	93	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E96:G96)="","",UNICHAR(34)&H96&" "&I96&" "&J96&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E96),"",L96)	=IF(ISBLANK(E96),"",LOOKUP(E96,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F96),"",M96)	=IF(ISBLANK(F96),"",LOOKUP(F96,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G96),"",N96)	=IF(ISBLANK(G96),"",LOOKUP(G96,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E96:G96)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			A#6	3	3	3	on	0	94	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E97:G97)="","",UNICHAR(34)&H97&" "&I97&" "&J97&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E97),"",L97)	=IF(ISBLANK(E97),"",LOOKUP(E97,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F97),"",M97)	=IF(ISBLANK(F97),"",LOOKUP(F97,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G97),"",N97)	=IF(ISBLANK(G97),"",LOOKUP(G97,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E97:G97)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			B6	8	8	8	on	0	95	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E98:G98)="","",UNICHAR(34)&H98&" "&I98&" "&J98&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E98),"",L98)	=IF(ISBLANK(E98),"",LOOKUP(E98,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F98),"",M98)	=IF(ISBLANK(F98),"",LOOKUP(F98,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G98),"",N98)	=IF(ISBLANK(G98),"",LOOKUP(G98,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E98:G98)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			C7	9	9	9	on	0	96	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E99:G99)="","",UNICHAR(34)&H99&" "&I99&" "&J99&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E99),"",L99)	=IF(ISBLANK(E99),"",LOOKUP(E99,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F99),"",M99)	=IF(ISBLANK(F99),"",LOOKUP(F99,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G99),"",N99)	=IF(ISBLANK(G99),"",LOOKUP(G99,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E99:G99)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			C#7	4	4	4	on	0	97	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E100:G100)="","",UNICHAR(34)&H100&" "&I100&" "&J100&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E100),"",L100)	=IF(ISBLANK(E100),"",LOOKUP(E100,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F100),"",M100)	=IF(ISBLANK(F100),"",LOOKUP(F100,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G100),"",N100)	=IF(ISBLANK(G100),"",LOOKUP(G100,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E100:G100)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
